City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,kirillov,59.863,38.3813,-11.99,92,100,4.09,RU,1702276325
124,arteche,12.2645,125.4048,27.48,84,98,3.23,PH,1702276325
125,saldanha,-33.0117,17.9442,20.03,72,0,6.77,ZA,1702276325
126,letlhakeng,-24.0944,25.0298,23.13,60,88,5.79,BW,1702276325
127,masterton,-40.9597,175.6575,14.94,67,0,2.97,NZ,1702276325
128,kayyerkan,69.3786,87.7439,-28.17,75,100,3.89,RU,1702276325
129,san antonio de pale,-1.4014,5.6325,27.53,78,53,6.31,GQ,1702276326
130,pasuquin,18.3328,120.6177,29.97,79,40,3.09,PH,1702276326
131,prineville,44.2999,-120.8345,7.95,92,100,0.0,US,1702276326
132,miri,4.4148,114.0089,30.08,74,40,2.57,MY,1702276326
133,yakeshi,49.2833,120.7333,-30.02,99,96,0.6,CN,1702276326
134,vorgashor,67.5833,63.95,-24.65,100,100,4.05,RU,1702276326
135,luderitz,-26.6481,15.1594,23.38,45,0,6.54,NA,1702276326
136,marsh harbour,26.5412,-77.0636,24.72,86,100,10.0,BS,1702276326
137,kalmunai,7.4167,81.8167,29.06,71,27,3.84,LK,1702276326
138,selfoss,63.9331,-20.9971,-0.53,97,100,1.32,IS,1702276326
139,mount gambier,-37.8333,140.7667,18.51,85,100,6.1,AU,1702276163
140,miles city,46.4083,-105.8406,-0.46,80,0,2.06,US,1702276327
141,jutai,-5.1833,-68.9,23.09,99,63,0.35,BR,1702276327
142,ketchikan,55.3422,-131.6461,2.99,93,0,0.0,US,1702276327
143,taltal,-25.4,-70.4833,16.19,84,7,0.55,CL,1702276221
144,tura,25.5198,90.2201,23.49,47,0,1.22,IN,1702276327
145,gambela,8.25,34.5833,32.59,35,29,1.93,ET,1702276327
146,ad dawadimi,24.5077,44.3924,16.64,19,100,4.36,SA,1702276327
147,dombarovskiy,50.7587,59.5386,-21.67,91,100,4.92,RU,1702276327
148,nishinoomote,30.7333,131.0,20.31,100,75,6.17,JP,1702276327
149,dauphin,51.1494,-100.0502,-5.92,86,0,3.09,CA,1702276328
150,lido di ostia,41.7321,12.2765,12.24,56,20,3.6,IT,1702276328
151,ad-damazin,11.7891,34.3592,30.21,20,19,2.8,SD,1702276328
152,kluczbork,50.9728,18.2182,3.19,93,100,7.52,PL,1702276328
153,bilibino,68.0546,166.4372,-19.52,95,100,1.8,RU,1702276328
154,georgetown,5.4112,100.3354,31.96,70,20,4.63,MY,1702276328
155,miranda,3.2499,-76.2281,20.07,84,65,1.92,CO,1702276328
156,grand baie,-20.0182,57.5802,29.26,73,34,3.13,MU,1702276328
157,vilyuchinsk,52.9306,158.4028,-0.85,85,89,4.98,RU,1702276257
158,balikpapan,-1.2675,116.8289,29.55,74,20,1.54,ID,1702276329
159,port elizabeth,-33.918,25.5701,22.83,64,0,3.09,ZA,1702276045
160,choyr,46.3611,108.3611,-15.89,88,100,2.34,MN,1702276329
161,zapala,-38.8992,-70.0544,19.29,33,61,4.74,AR,1702276329
162,zouerate,22.7187,-12.4521,15.07,24,0,5.52,MR,1702276329
163,turkeli,41.9476,34.3386,11.98,62,100,0.62,TR,1702276329
164,ozu,33.5,132.55,15.79,86,95,5.22,JP,1702276329
165,volchikha,52.0333,80.3833,-21.12,86,88,1.79,RU,1702276329
166,cabo san lucas,22.8909,-109.9124,21.53,71,0,1.12,MX,1702276104
167,fale old settlement,-9.3852,-171.2468,28.27,82,100,9.07,TK,1702276330
